source_id,type,title,publisher,url,publication_date,last_checked,license,confidence,refresh_cadence,notes,display_caption,receipt,change_basis,volatility_flag,placement,source_line,display_value,data_period,region
SRC-011,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, Appliances",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SEHK,2026-07-14,2026-07-25,public-domain,confirmed,monthly,"A direct read of the BLS index scale against its December 1997 base, not a computed percentage.",Household appliances cost about 16% less than they did in 1997 — before accounting for inflation at all.,"BLS CPI Appliances (CUUR0000SEHK), base December 1997=100: 83.785 (June 2026) - below its 1997 base; 77.536 (June 2016).",computed-by-us,none,durable-page,"U.S. BLS CPI, June 2026",16%,1997 – June 2026,United States
SRC-012,cost-statistic,"U.S. Bureau of Labor Statistics — Producer Price Index, Materials and components for construction",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/WPUID612,2026-07-14,2026-07-25,public-domain,confirmed,monthly,June 2026 value is preliminary (P).,Building materials cost about 4% more than a year ago.,"BLS PPI Materials and components for construction (WPUID612), base 1982=100: 379.287 (June 2026, preliminary P); 363.511 (June 2025); 354.662 (June 2024).",computed-by-us,preliminary,durable-page,"U.S. BLS PPI, year to June 2026 (preliminary)",4%,Year to June 2026,United States
SRC-013,cost-statistic,"U.S. Bureau of Labor Statistics — Consumer Price Index (June 2026), Table 2",U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/cpi_07142026.htm,2026-07-14,2026-07-25,public-domain,confirmed,monthly,Deflationary contrast: an essential digital-access service falling year over year.,Mobile phone service got cheaper again — down 4.3% over the year to June 2026.,"BLS CPI, Wireless telephone services: -4.3% over the 12 months ended June 2026 (not seasonally adjusted). Companion same release: internet services +3.4%; aggregate communication -2.1%.",published,none,durable-page,"U.S. BLS CPI, year to June 2026",4.3%,Year to June 2026,United States
SRC-014,cost-statistic,"U.S. Bureau of Labor Statistics — Consumer Price Index (June 2026), Table 2",U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/cpi_07142026.htm,2026-07-14,2026-07-25,public-domain,confirmed-number-estimate-sector-fit,monthly,"Qualified proxy: BLS classifies this under Housing, not public safety; no BLS CPI item maps to emergency response. A protection-of-home-and-property proxy; a clean GAP is equally defensible.",Renters' and household insurance rose 5.9% over the year to June 2026.,"BLS CPI, Tenants' and household insurance: +5.9% over the 12 months ended June 2026 (NSA).",published,none,durable-page,"U.S. BLS CPI, year to June 2026",5.9%,Year to June 2026,United States
SRC-015,cost-statistic,NOAA National Centers for Environmental Information — Assessing the U.S. Climate in 2024,NOAA National Centers for Environmental Information,https://www.ncei.noaa.gov/news/national-climate-202413,2025-01,2026-07-25,public-domain,confirmed,retired-final-edition,"Product retired after CY2024 (NESDIS Notice of Changes, 8 May 2025); 1980-2024 archive remains authoritative. The year 2024 must be visible on the face of the row. Stated as a neutral cost figure with no emissions- or regulation-blame framing.","In 2024, the United States was hit by 27 separate weather and climate disasters that each cost more than $1 billion — $182.7 billion in total.","NOAA NCEI, Assessing the U.S. Climate in 2024: ""During 2024, the U.S. experienced 27 weather and climate disasters each incurring losses that exceeded $1 billion."" ""The U.S. cost for these disasters in 2024 was $182.7 billion and was fourth highest on record.""",published,none,durable-page,NOAA NCEI · 2024,"2024,",2024,United States
SRC-016,cost-statistic,U.S. Bureau of Labor Statistics — Consumer Price Index (June 2026),U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/cpi_07142026.htm,2026-07-14,2026-07-25,public-domain,confirmed,monthly,"Discretionary, not an essentials-thesis figure; leaving Leisure empty remains rubric-consistent. Included for completeness.",Recreation cost 2.8% more over the year to June 2026.,"BLS CPI, Recreation: +2.8% over the 12 months ended June 2026.",published,none,durable-page,"U.S. BLS CPI, year to June 2026",2.8%,Year to June 2026,United States
SRC-017,cost-statistic,U.S. Energy Information Administration — Weekly U.S. Regular All Formulations Retail Gasoline Prices,U.S. Energy Information Administration,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emm_epmr_pte_nus_dpg&f=w,2026-08-18,2026-08-22,public-domain,confirmed,weekly,"Cost-watch news feed only, not a durable page. State the price as of its date only; do NOT attribute it to any geopolitical cause (nonpartisan screen). Print $4.05 or $4.049, never $4.04 (truncation) and never $3.049 (digit misread - an automated fetch returned that once). This value is superseded 2026-08-25.",Regular gasoline averaged $4.05 a gallon nationwide in the week ending 17 August 2026.,"EIA Weekly U.S. Regular All Formulations Retail Gasoline Prices (EMM_EPMR_PTE_NUS_DPG), $/gal: 4.049 (week ending 2026-08-17); 4.096 (week ending 2026-07-27, prior published value); 3.125 (week ending 2025-08-18, year earlier). Includes taxes; regular grade; national volume-weighted. Read off the rendered EIA table in a browser on 2026-08-22; page states release date 8/18/2026, next release 8/25/2026.",published,weekly,news-feed,"U.S. EIA, week ending 17 August 2026",$4.05,Week ending 17 August 2026,United States
SRC-018,cost-statistic,HUD — 2025 Annual Homelessness Assessment Report (AHAR) Part 1,U.S. Department of Housing and Urban Development,https://www.huduser.gov/portal/sites/default/files/pdf/2025-AHAR-Part-1.pdf,2026-05,2026-07-25,public-domain,confirmed,annual,"BOTH halves must travel together: the total fell but chronic homelessness reached a record high. Use 26% (HUD PDF), not the 27% in AI snippets. Excludes people doubling-up or couch-surfing.","On a single night in January 2025, 745,652 people were homeless in the United States — 3% fewer than a year earlier, but 26% more than in 2013. The number facing long-term, chronic homelessness reached a record high of nearly 156,000.","HUD 2025 AHAR Part 1: ""On a single night in January 2025, there were 745,652 homeless persons in the United States, a 3 percent decrease since 2024."" Compared to 2013, ""about 155,000 more homeless persons (a 26% increase)."" ""nearly 156,000 people reported having chronic patterns of homelessness. This is the highest number of individuals with chronic patterns of homelessness ever counted on a single night.""",published,none,durable-page,HUD 2025 AHAR Part 1 · January 2025,"2025,",January 2025,United States
SRC-019,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, Rent of primary residence",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SEHA,2026-07-14,2026-07-25,public-domain,confirmed,monthly,"An index, not a dollar rent. Pair with Census HVS median asking rent once Table 11A is pulled (not yet on UNP-70).",Rents rose 2.8% over the year to June 2026.,"BLS CPI Rent of primary residence (CUUR0000SEHA), base 1982-84=100: 446.945 (June 2026); 434.594 (June 2025).",computed-by-us,none,durable-page,"U.S. BLS CPI, year to June 2026",2.8%,Year to June 2026,United States
SRC-020,cost-statistic,Federal Reserve Board — Distributional Financial Accounts (corporate equities and mutual fund shares),Board of Governors of the Federal Reserve System,https://www.federalreserve.gov/releases/z1/dataviz/dfa/distribute/chart/,2026-06-18,2026-07-25,public-domain-by-convention,confirmed-published-bins-top1-computed,quarterly,"Excludes equities held through DC pensions - copy must say ""owned outside retirement accounts."" Top-1% is computed-by-us (two published bins summed from unrounded levels); the Fed publishes no top-1% aggregate, so it must never be labelled Fed-published. Quarterly movements are modelled; do not build a caption on a quarter-to-quarter change. Licence: public-domain-by-convention, Needs confirm.",The top 1% owns about half of the stocks and funds held outside retirement accounts. The bottom half of America owns about 1%.,"Federal Reserve Distributional Financial Accounts, Corporate equities and mutual fund shares, share by wealth group, 2026:Q1 - top 0.1%: 24.2; 99th-99.9th: 26.0; next 9%: 37.2; next 40%: 11.6; bottom 50%: 1.1 (percent). Top 1% = two top bins summed from unrounded levels: (13,331,518 + 14,312,130) / 55,146,148 = 50.1% (about half) [computed-by-us]; bottom 50% = 1.065% (about 1%) [published]. Release updated 2026-06-18; latest quarter 2026:Q1.",contrast,none,durable-page,"Federal Reserve DFA, 2026:Q1",1%,2026 Q1,United States
SRC-021,cost-statistic,Harvard Joint Center for Housing Studies — America's Rental Housing 2026,Harvard Joint Center for Housing Studies,https://www.jchs.harvard.edu/sites/default/files/reports/files/Harvard_JCHS_Americas_Rental_Housing_2026.pdf,2026-03-12,2026-08-01,harvard-jchs-attribution,confirmed,biennial,Printed page 29 (confirmed on screen via UNP-70). Each figure is a within-year ratio of contemporaneous dollars (no deflator). Short quotation with attribution only; do not reproduce Figure 24.,"The median American renter spent 31% of their income on rent and utilities in 2024, up from 27% in 2001.","Harvard JCHS, America's Rental Housing 2026, printed p.29: ""In 2024, the median renter spent 31 percent of income on rent and utilities, up from 29 percent in 2019 and 27 percent in 2001 (Figure 24).""",published,none,durable-page,"Harvard JCHS, America's Rental Housing 2026, p.29",31%,2024,United States
SRC-022,cost-statistic,Harvard Joint Center for Housing Studies — America's Rental Housing 2026,Harvard Joint Center for Housing Studies,https://www.jchs.harvard.edu/sites/default/files/reports/files/Harvard_JCHS_Americas_Rental_Housing_2026.pdf,2026-03-12,2026-08-01,harvard-jchs-attribution,confirmed,biennial,"Rebased from the JCHS blog onto the report (printed p.29) per UNP-70 verification (2026-08-01); the report states the inflation adjustment itself. Quote the report exactly, not the blog.","Between 2001 and 2024, the median rent rose 30% after adjusting for inflation, while the median renter's income rose just 9%.","Harvard JCHS, America's Rental Housing 2026, printed p.29: ""Between 2001 and 2024, the median rent increased 30 percent after adjusting for inflation, while the median renter household income increased just 9 percent."" Also 2019->2024: median rent +12% vs household income +4%.",published,none,durable-page,"Harvard JCHS, America's Rental Housing 2026, p.29",30% versus 9%,2001–2024,United States
SRC-023,cost-statistic,"U.S. Bureau of Labor Statistics — CPI Average Price Data, Ground beef, 100% beef, per lb.",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/APU0000703112,2026-08-12,2026-08-22,public-domain,confirmed,monthly,"Food headline stat. Never ""record high"" (April 2026 $6.899 is the series peak, not July). Print $6.89 or $6.885, never $6.88. No causal framing. October 2025 is missing from the series (""Data unavailable due to the 2025 lapse in appropriations"") - never compute a window that crosses it. July 2026 level is superseded by the August CPI on 2026-09-10 - re-pull if published on or after that date.","Ground beef cost $6.89 a pound in July 2026, up from $3.80 in January 2019 — about 81% more.","BLS CPI Average Price Data, ""Ground beef, 100% beef, per lb. (453.6 gm) in U.S. city average"" (APU0000703112), $/lb: 6.885 (July 2026); 3.801 (January 2019). Same-series computation: (6.885 / 3.801 - 1) x 100 = 81.1% (about 81%). Read off the rendered data.bls.gov/timeseries/APU0000703112 table in a browser on 2026-08-22.",computed-by-us,none,durable-page,U.S. BLS Average Price Data · July 2026,$6.89,January 2019 – July 2026,United States
SRC-024,cost-statistic,"Federal Reserve — Distributional Financial Accounts, Net worth, share by wealth percentile group",Board of Governors of the Federal Reserve System,https://www.federalreserve.gov/releases/z1/dataviz/dfa/distribute/chart/,2026-06-18,2026-08-22,public-domain-by-convention,confirmed-published-bins-top1-computed,quarterly,"Total net worth - homes, savings, pensions, businesses, everything - as distinct from SRC-020, which is the same DFA release but corporate equities and mutual fund shares only. Like SRC-020, the Fed publishes percentile-group BINS, not a top-1% aggregate, so top-1% is computed-by-us by summing the top two bins from UNROUNDED levels and must never be labelled Fed-published. Bottom-50% is published. Do not build a caption on a quarter-to-quarter change - quarterly movements are modelled. Licence: public-domain-by-convention, Needs confirm.",The wealthiest 1% of American households held 31.6% of the country's net worth in the first quarter of 2026. The bottom half of households held 2.5%.,"Federal Reserve Distributional Financial Accounts, Net worth by wealth percentile group, 2026:Q1 - top 0.1%: 14.4; 99th-99.9th: 17.2; next 9%: 36.3; next 40%: 29.6; bottom 50%: 2.5 (percent, as published). Top 1% = top two bins summed from unrounded levels: (25,072,282 + 29,960,718) / 174,009,619 = 31.63% (31.6%) [computed-by-us]; bottom 50% = 4,266,359 / 174,009,619 = 2.45% (2.5%) [published]. Read off the rendered DFA table in a browser on 2026-08-22 with Shares (%) selected, then cross-checked against the Fed's own dfa-networth-shares.csv and dfa-networth-levels.csv. Page states Last Update: June 18, 2026; latest quarter 2026:Q1.",contrast,none,durable-page,"Federal Reserve DFA, 2026:Q1",31.6% versus 2.5%,2026 Q1,United States
SRC-025,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, All items, U.S. city average",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SA0,2026-08-12,2026-08-22,public-domain,confirmed,monthly,"Not seasonally adjusted, 1982-84=100. The 12-month change is BLS-published in the news release text and independently reproduces from the series: 333.918 / 323.048 - 1 = 3.36%. October 2025 is missing from the series (""Data unavailable due to the 2025 lapse in appropriations"") - never compute a window that crosses it. LATEST PRINT IS JULY 2026: BLS publishes about two weeks in arrears, so any reading labelled August 2026 is a misparse, not a new print.",Consumer prices overall were 3.4% higher in July 2026 than a year earlier.,"BLS Consumer Price Index for All Urban Consumers (CPI-U), All items, U.S. city average, not seasonally adjusted (CUUR0000SA0), index 1982-84=100: 333.918 (July 2026); 323.048 (July 2025). Same-series computation: 333.918 / 323.048 - 1 = 3.36%, matching the 3.4 percent 12-month change stated in CPI news release USDL-26-1378 (CONSUMER PRICE INDEX - JULY 2026, released 2026-08-12). Index values read off the rendered data.bls.gov/timeseries/CUUR0000SA0 table in a browser on 2026-08-22.",published,none,news-feed,"U.S. BLS CPI-U, July 2026",3.4%,July 2026,United States
SRC-026,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, Food at home, U.S. city average",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SAF11,2026-08-12,2026-08-22,public-domain,confirmed,monthly,"Not seasonally adjusted, 1982-84=100. The 12-month change is BLS-published in the news release text and independently reproduces from the series: 321.643 / 313.263 - 1 = 2.68%. October 2025 is missing from the series (""Data unavailable due to the 2025 lapse in appropriations"") - never compute a window that crosses it. LATEST PRINT IS JULY 2026: BLS publishes about two weeks in arrears, so any reading labelled August 2026 is a misparse, not a new print.",Groceries cost 2.7% more in July 2026 than a year earlier.,"BLS Consumer Price Index for All Urban Consumers (CPI-U), Food at home, U.S. city average, not seasonally adjusted (CUUR0000SAF11), index 1982-84=100: 321.643 (July 2026); 313.263 (July 2025). Same-series computation: 321.643 / 313.263 - 1 = 2.68%, matching the 2.7 percent 12-month change stated in CPI news release USDL-26-1378 (CONSUMER PRICE INDEX - JULY 2026, released 2026-08-12). Index values read off the rendered data.bls.gov/timeseries/CUUR0000SAF11 table in a browser on 2026-08-22.",published,none,news-feed,"U.S. BLS CPI-U food at home, July 2026",2.7%,July 2026,United States
SRC-027,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, Energy, U.S. city average",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SA0E,2026-08-12,2026-08-22,public-domain,confirmed,monthly,"Not seasonally adjusted, 1982-84=100. The 12-month change is BLS-published in the news release text and independently reproduces from the series: 325.150 / 283.395 - 1 = 14.73%. October 2025 is missing from the series (""Data unavailable due to the 2025 lapse in appropriations"") - never compute a window that crosses it. LATEST PRINT IS JULY 2026: BLS publishes about two weeks in arrears, so any reading labelled August 2026 is a misparse, not a new print.",Household energy cost 14.7% more in July 2026 than a year earlier.,"BLS Consumer Price Index for All Urban Consumers (CPI-U), Energy, U.S. city average, not seasonally adjusted (CUUR0000SA0E), index 1982-84=100: 325.150 (July 2026); 283.395 (July 2025). Same-series computation: 325.150 / 283.395 - 1 = 14.73%, matching the 14.7 percent 12-month change stated in CPI news release USDL-26-1378 (CONSUMER PRICE INDEX - JULY 2026, released 2026-08-12). Index values read off the rendered data.bls.gov/timeseries/CUUR0000SA0E table in a browser on 2026-08-22.",published,none,news-feed,"U.S. BLS CPI-U energy, July 2026",14.7%,July 2026,United States
